"2250H","HICKORY SMOKED CATERING TURKEY 1/2","$7.64","LB","EA","4.25"
"2251","NATURAL SMOKED TURKEY LARGE","$7.54","LB","EA","9.00"
"2251H","NATURAL SMOKED TURKEY BREAST 1/2","$7.64","LB","EA","4.50"
"2253","LOW SODIUM TURKEY HEART SHAPED","$7.59","LB","EA","9.00"
"2254","LOW SODIUM TURKEY","$7.59","LB","EA","8.50"
"2282","THUMANN BROWNED SINGLE BREAST TURKEY","$7.44","LB","EA","4.00"
"2400","PREMIUM CHICKEN BREAST","$4.50","LB","EA","4.00"
"2401","PREMIUM BUFFALO CHICKEN BREAST","$4.60","LB","EA","4.00"
"2402","PREMIUM BBQ CHICKEN BREAST","$4.60","LB","EA","4.00"
"2403","ALL NATURAL  CHICKEN BREAST","$4.75","LB","EA","4.00"
"2406","PREMIUM ROUND CHICKEN","$4.50","LB","EA","4.00"
"2415","GOURMET OVEN ROASTED CHICKEN BREAST","$4.50","LB","EA","5.00"
"2416","CHIPOTLE CHICKEN BREAST","$4.60","LB","EA","4.00"
"2425","THU ALL NATURAL CHICKEN FRANKS","$3.80","LB","EA","1.00"
"2602","A/NAT CAPLSS OV/RO TOP RD","$8.20","LB","EA","6.50"
"2603","CAJUN LONDON BROIL","$7.05","LB","EA","3.00"
"2605","ROAST BEEF CAPLESS","$7.70","LB","EA","13.00"
"2606","RIPPLE ROAST BEEF 1/2","$7.52","LB","EA","4.00"
"2607","RIPPLE ROAST BEEF","$7.47","LB","EA","8.00"
"2608","ROAST BEEF CAPLESS 1/2","$7.80","LB","EA","6.50"
"2609","LONDON BROIL","$6.95","LB","EA","3.00"
"2611","ITALIAN ROAST BEEF","$7.20","LB","EA","12.00"
"2612","ITALIAN ROAST BEEF 1/2","$7.40","LB","EA","6.00"
"2613","CAPLESS NO FAT BEEF","$7.52","LB","EA","16.00"
"2615","SEASONED ROAST BEEF 1/2","$7.40","LB","EA","6.50"
"2616","TOP ROUND AS IS","$5.62","LB","EA","19.00"
"2617","SEASONED ROAST BEEF","$7.30","LB","EA","13.00"
"2618","ROAST BEEF TOP LARGE","$7.28","LB","EA","18.00"
"2619","ROAST BEEF TOP SMALL","$7.28","LB","EA","17.00"
"2620","ROAST BEEF TOP 1/2","$7.38","LB","EA","8.00"
"2625","SEASONED ITAL CAPLESS RB 1/2","$7.40","LB","EA","6.50"
"2626","NO FAT BEEF 14/17","$6.87","LB","EA","16.00"
"2626H","NO FAT BEEF 14/17  1/2","$6.87","LB","EA","10.00"
"2627","NO FAT BEEF 17/20","$6.87","LB","EA","18.00"
"2627H","NO FAT BEEF 17/20  1/2","$6.87","LB","EA","10.00"
"2629","FLAT TRIMMED & TIED BEEF","$6.77","LB","EA","9.00"
"2630","NO FAT BEEF SPECIAL","$6.70","LB","EA","16.00"
"2630H","NO FAT BEEF SPECIAL 1/2","$6.70","LB","EA","10.00"
"2633","A/N BLACK ANGUS PASTRAMI","$6.50","LB","EA","6.50"
"2634","ALL NATURAL CORNED BEEF","$6.40","LB","EA","3.00"
"2636","CAP PASTRAMI","$6.20","LB","EA","7.00"
"2637","CAP CORNED BEEF","$6.10","LB","EA","3.00"
"2641","CAPLESS CORNED BEEF 1/2","$7.39","LB","EA","7.00"
"2642","CORNED BEEF TOP","$6.47","LB","EA","8.00"
"2643","CORNED BEEF BOTTOM LG","$7.07","LB","EA","5.00"
"2644","CORNED BEEF BOTTOM SM","$7.07","LB","EA","5.50"
"2646","BOTTOM PASTRAMI SMALL","$7.17","LB","EA","3.00"
"2647","BOTTOM PASTRAMI LARGE","$7.17","LB","EA","5.00"
"2653","SEASONED LONDON BROIL ROAST BEEF","$7.40","LB","EA","6.50"
"2710","COOKED BRISKET","$9.09","LB","EA","8.00"
"2711","RAW CORNED BEEF BRISKET","$8.04","LB","EA","11.00"
"2712","1ST CUT COOK CORNED BEEF","$9.89","LB","EA","5.00"
"2713","1ST CUT RAW CORNED BEEF","$8.38","LB","EA","5.00"
"2717","1ST CUT RAW CB 1/2","$8.43","LB","EA","2.00"
"2810","SHEEP CASING SAUSAGE 6LB","$3.78","LB","EA","6.00"
"2812","PRE-COOKED SAUSAGE 10 OZ","$4.16","LB","EA","10.00"
"2830","SHEEP CASING SAUSAGE 8-1","$3.80","LB","EA","6.00"
"2835","4-1SKINLESS ITALIAN SWEET SAUSAGE 7","$3.82","LB","EA","20.00"
"2850","PRECOOK SAUSAGE YELLOW 14-1","$3.88","LB","EA","5.00"
"2852","PRECOOK SAUSAGE RED 10-1","$3.88","LB","EA","5.00"
"2860","HOG CASING SAUSAGE","$3.54","LB","EA","6.00"
"2863","DINER STYLE BREAKFAST SAUSAGE","$4.16","LB","EA","4.50"
"2865","THU PRE COOK SAUSAGE PATTY","$3.50","LB","EA","10.00"
"2868","COOKED BRATWURST NATURAL CASING 4-1","$3.95","LB","EA","5.00"
"2870","BRATWURST 5-1  5LB","$3.75","LB","EA","5.00"
"2871","BRATWURST 3-1  5LB","$3.95","LB","EA","5.00"
"2872","PRECOOKED BRATWURST 1LB PKG","$3.95","LB","EA","1.10"
"2873","SKINLESS BRATWURST  4-1 20LB","$3.75","LB","EA","20.00"
"2874","ITALIAN SWEET SAUSAGE 5LB","$3.92","LB","EA","5.00"
"2875","PRECOOKED BRATWURST 20LB","$3.85","LB","EA","20.00"
"2876","ITALIAN HOT SAUSAGE 5LB","$3.92","LB","EA","5.00"
"2877","THUMANN PIZZA TOPPING","$3.57","LB","EA","5.00"
"2878","ITALIAN SAUSAGE SWEET 6 1LB UNITS","$3.97","LB","EA","6.00"
"2879","ITALIAN SAUSAGE HOT 6 1LB UNITS","$3.97","LB","EA","6.00"
"2881","4-1 SWEET ITALIAN SKIN ON 7","$3.97","LB","EA","5.00"
"2882","4-1 HOT ITALIAN SKIN ON 7","$3.97","LB","EA","5.00"
"2890","HOT ITALIAN SAUSAGE 20 LB","$3.87","LB","EA","20.00"
"2891","SWEET ITALIAN SAUSAGE 20 LB","$3.87","LB","EA","20.00"
"3010","SMOKED BUTTS","$5.18","LB","EA","1.50"
"3219","SPECIAL STEW BEEF","$6.66","LB","EA","10.00"
"3220","STEW BEEF","$6.56","LB","EA","5.00"
"3221","STROGANOFF BEEF","$6.71","LB","EA","5.00"
"3241","HAMBURGER PATTIES 5-1","$5.37","LB","EA","5.00"
"3242","HAMBURGER PATTIES  6 OZ","$5.37","LB","EA","11.25"
"3250","HAMBURGER PATTIES 4-1","$5.37","LB","EA","5.00"
"3251","HAMBURGER PATTIES 4-1 2LB","$5.37","LB","EA","2.00"
"3252","HAMBURGER PATTIES 3-1","$5.37","LB","EA","5.00"
"3253","HAMBURGER PATTIES 2-1","$5.37","LB","EA","12.00"
"3410","OLIVE LOAF","$4.05","LB","EA","5.00"
"3412","PICKLE & PIMENTO LOAF","$3.80","LB","EA","5.00"
"3420","BEEF TONGUE","$15.55","LB","EA","6.00"
"3426","KIELBASI LOAF","$4.02","LB","EA","6.00"
"3434","HEAD CHEESE","$4.14","LB","EA","5.50"
"3446","OVAL MINCED LOAF","$3.81","LB","EA","5.50"
"4005","LONG BOLOGNA","$3.81","LB","EA","4.50"
"4025","THICK BOLOGNA","$3.81","LB","EA","12.00"
"4030","THICK BOLOGNA 1/2","$3.81","LB","EA","6.00"
"4035","RED BOLOGNA","$3.81","LB","EA","12.00"
"4036","RED BOLOGNA 1/2","$3.81","LB","EA","6.00"
"4045","NATURAL CASING BOLOGNA","$3.85","LB","EA","8.00"
"4050","BEEF BOLOGNA","$4.46","LB","EA","4.00"
"4065","CHUB BOLOGNA","$3.91","LB","EA","1.00"
"4070","RING BOLOGNA","$3.91","LB","EA","1.50"
"4073","GARLIC BOLOGNA","$3.66","LB","EA","5.00"
"4074","LOW SALT BOLOGNA","$3.91","LB","EA","6.00"
"4075","MORTADELLA WITH PISTACHIO NUTS","$4.20","LB","EA","5.00"
"4076","PLAIN MORTADELLA","$4.10","LB","EA","5.00"
"4205","SMOKED LIVERWURST","$3.73","LB","EA","4.00"
"4215","FRESH LIVERWURST","$3.73","LB","EA","4.00"
"4225","CAP LIVERWURST SMALL","$3.83","LB","EA","1.50"
"4230","CHUB SMOKED LIVERWURST","$3.83","LB","EA","1.50"
"4240","YELLOW CELLO","$3.59","LB","EA","4.50"
"4245","CHUB YELLOW CELLO","$3.69","LB","EA","1.00"
"4410","COOKED SALAMI","$3.83","LB","EA","4.00"
"4610","KIELBASI-VACUUM PACK","$4.42","LB","EA","1.10"
"4620","KIELBASI-LOOSE","$4.37","LB","EA","2.00"
"4621","LOOSE KIELBASA 4-1 8","$4.42","LB","EA","5.00"
"4650","MAMA KIELBASA","$4.34","LB","EA","5.00"
"4804","10 INCH FRANKS","$3.60","LB","EA","5.00"
"4806","8-1 PKG FRANKS","$3.66","LB","EA","6.00"
"4808","8-1 LOOSE FRANK","$3.60","LB","EA","6.00"
"4810","10-1 PKG FRANKS","$3.66","LB","EA","6.00"
"4812","10-1 LOOSE FRANK","$3.60","LB","EA","6.00"
"4813","5-1 LOOSE FRANKS","$3.60","LB","EA","20.00"
"4814","4-1 LOOSE FRANKS","$3.60","LB","EA","10.00"
"4815","4-1 FRANKS 2LB","$3.70","LB","EA","2.50"
"4816","4-1 FRANKS 1LB","$3.75","LB","EA","1.10"
"4819","7 FRANKS 5LB","$3.60","LB","EA","5.00"
"4820","7 FRANKS 20 LB","$3.60","LB","EA","20.00"
"4821","PORK/BEEF SKINLESS 5-1 FRANKS 7 1/2","$3.60","LB","EA","20.00"
"4823","PORK/BEEF SKINLESS FRANKS 7 2/10LB","$3.60","LB","EA","20.00"
"4824","PORK/BEEF SKINLESS FRANKS  8 1/2","$3.60","LB","EA","5.00"
