Category,Subcategory,Item Code,Description,Price,UOM
Seafood,SALTED FISH,SH1624,SMOKED HERRING,4.49,LB
Seafood,GOLD & FANCY 2LB BAGS,GF8716,GLD FANCY 16/20 CKD SHRIMP T/O,8.89,LB
Seafood,GOLD & FANCY 2LB BAGS,GF8727,GLD FANCY 2LB 26/30 CKD SHRIMP,7.79,LB
Seafood,GOLD & FANCY 2LB BAGS,GF8732,GLD FANCY 2LB 31/40 CKD SHRIMP,7.99,LB
Seafood,GOLD & FANCY 2LB BAGS,GF8742,GLD FANCY 2LB 41/50 CKD SHRIMP,6.89,LB
Seafood,GOLD & FANCY 2LB BAGS,GF8762,GLD FANCY 2LB 61/70 CKD SHRIMP,6.79,LB
Seafood,GOLD & FANCY 2LB BAGS,GF8792,GLD FANCY 2LB 91/110 CKD SHRIMP,6.69,LB
Seafood,GOLD & FANCY E-Z PEEL SHRIMP  2lb bags,GF8616,GLD FANCY RAW EZ PEEL 16/20 SH,6.99,LB
Seafood,GOLD & FANCY E-Z PEEL SHRIMP  2lb bags,GF8631,GLD FANCY RAW EZ PEEL 31/40 SH,6.29,LB
Seafood,GOLD & FANCY RAW TAIL ON  2lb bags,GF8108,GLD FANCY RAW P&D 8/12 SHRIMP 2LB T/ON,11.29,LB
Seafood,GOLD & FANCY RAW TAIL ON  2lb bags,GF8116,GLD FANCY RAW P&D 16/20 SHRIMP,7.99,LB
Seafood,GOLD & FANCY RAW TAIL ON  2lb bags,GF8131,GLD FANCY RAW P&D 31/40 SHRIMP,6.99,LB
